cluster_id,C_albicans,C_glabrata,K_lactis,S_cerevisiae,unknown,species_count
Cluster1542,1,0,0,0,0,1
Cluster1543,1,0,0,0,0,1
Cluster1544,0,1,1,1,0,3
Cluster1545,0,1,1,1,0,3
Cluster1546,1,0,0,0,0,1
Cluster1547,1,0,0,0,0,1
Cluster1548,1,0,0,0,0,1
Cluster1549,1,1,1,1,0,4
Cluster155,0,0,1,0,0,1
Cluster1550,1,1,1,1,0,4
Cluster1551,1,0,0,1,0,2
Cluster1552,1,0,0,0,0,1
Cluster1553,1,1,1,1,0,4
Cluster1554,1,1,0,1,0,3
Cluster1555,0,1,0,1,0,2
Cluster1556,0,0,1,0,0,1
Cluster1557,0,2,1,2,0,3
Cluster1558,1,0,0,0,0,1
Cluster1559,0,0,1,0,0,1
Cluster156,1,1,1,1,0,4
Cluster1560,0,0,1,0,0,1
Cluster1561,1,1,1,1,0,4
Cluster1562,1,1,1,1,0,4
Cluster1563,1,1,1,1,0,4
Cluster1564,0,0,0,1,0,1
Cluster1565,0,0,0,1,0,1
Cluster1566,0,1,0,1,0,2
Cluster1567,1,0,0,0,0,1
Cluster1568,1,0,0,0,0,1
Cluster1569,0,1,0,1,0,2
Cluster157,1,1,1,1,0,4
Cluster1570,0,1,2,1,0,3
Cluster1571,1,0,0,0,0,1
Cluster1572,0,1,0,1,0,2
Cluster1573,0,1,1,1,0,3
Cluster1574,1,1,1,1,0,4
Cluster1575,0,0,1,0,0,1
Cluster1576,1,0,0,0,0,1
Cluster1577,1,0,0,0,0,1
Cluster1578,0,0,0,1,0,1
Cluster1579,1,0,0,0,0,1
Cluster158,1,1,1,1,0,4
Cluster1580,1,0,0,0,0,1
Cluster1581,1,0,0,0,0,1
Cluster1582,1,0,0,0,0,1
Cluster1583,0,0,1,1,0,2
Cluster1584,1,0,0,0,0,1
Cluster1585,1,0,0,0,0,1
Cluster1586,1,0,0,0,0,1
Cluster1587,0,1,1,1,0,3
Cluster1588,0,0,1,1,0,2
Cluster1589,0,1,1,1,0,3
Cluster159,1,1,1,1,0,4
Cluster1590,0,0,0,1,0,1
Cluster1591,0,0,1,1,0,2
Cluster1592,0,0,0,1,0,1
Cluster1593,0,1,1,1,0,3
